rank	System.II	System.I	direction	Sum.System.I	Sum.System.II	CooccurCounts	Pagel.p.value	P.value.System.I.dep	P.value.System.II.dep	Bonferroni	Benjamini.Hochberg
213	PsyrTA	gop_beta_cll	-1	279	1382	14	1.92397150687158e-05	0.237807165210234	0.137377836179512	NA	Y
214	RM IIG	Retron I-C	-1	2026	3307	47	2.1726388440353e-05	0.0246924013212317	2.04792390934763e-05	NA	Y
215	Dnd_ABCDE	RM III	-1	3335	1407	143	2.28110003201653e-05	1.76670974498272e-05	0.000393605243798855	NA	Y
216	AbiQ	Septu I	1	2632	203	16	2.496465597244e-05	0.382618814902372	0.0177289920243255	NA	Y
217	BstA	Dpd	1	1259	1136	133	2.82402783224271e-05	0.174250861149921	5.26652778743401e-05	NA	Y
218	CRISPR I-E	DRT III	1	1497	17573	1331	2.88461878871086e-05	6.84174169361987e-05	0.00646748043613944	NA	Y
219	Zorya I	Zorya II	1	2518	489	75	2.91286705042408e-05	0.145063690955517	0.000250477993504299	NA	Y
220	Druantia I	PsyrTA	-1	1382	328	5	2.93075061043254e-05	0.0238540338435884	0.188293380846724	NA	Y
221	Druantia III	Mokosh II	-1	975	3391	49	2.98331953234308e-05	0.322639744519321	9.65688875921965e-05	NA	Y
222	AbiE	Dnd_FGH	1	1378	5251	271	3.05849958030724e-05	2.37542084225048e-05	0.0382340098050962	NA	Y
223	RM IV	cas_adaptation	-1	195	8297	38	3.08718970948817e-05	0.0821211486347322	5.56161850498335e-05	NA	Y
224	RM II	Retron II-A	-1	836	26131	790	3.17612504420689e-05	0.0133170544734298	2.38774468836482e-05	NA	Y
225	CRISPR I-F	PARIS	1	603	675	22	3.5139994413576e-05	0.510565430567773	5.2264468147437e-06	NA	Y
226	AbiD	Mokosh II	-1	975	997	42	3.63382264694762e-05	0.00159843045070433	0.00777832748831345	NA	Y
227	AbiU	Dnd_FGH	1	1378	569	41	3.64804302422106e-05	0.0058791163773433	0.000164692913465604	NA	Y
228	AVAST IV	RM IV	-1	8297	1001	141	3.65049273158921e-05	1.8088784978254e-05	0.0315591857609821	NA	Y
229	DRT I	Mokosh II	-1	975	1256	95	3.7125037473375e-05	0.621257425147181	5.48914321022057e-06	NA	Y
230	Gabija	PrrC	1	427	4540	112	3.81552694734413e-05	8.93918255504632e-06	0.67810926568019	NA	Y
231	Gabija	PifA	-1	1362	4540	128	3.93997138666058e-05	7.63383545170627e-05	1.23694222905731e-05	NA	Y
232	CBASS I	CRISPR I-E	1	17573	4764	2449	3.95774923753822e-05	0.00262386628317859	0.00201404502898243	NA	Y
233	CBASS I	PARIS	-1	603	4764	41	4.00261662976894e-05	0.0254786884566599	0.000157560710578393	NA	Y
234	BstA	PARIS	-1	603	1136	15	4.0905644072855e-05	0.0485068520262246	0.000186108260084291	NA	Y
235	DRT III	PsyrTA	1	1382	1497	48	4.11240065887592e-05	0.00235886847528295	0.000291136312074892	NA	Y
236	AbiE	mza	-1	249	5251	11	4.14767933680613e-05	4.87393519127139e-06	0.670179063995657	NA	Y
237	AbiE	PrrC	1	427	5251	140	4.15225434680082e-05	4.24577833491816e-06	0.0644251149786471	NA	Y
238	Thoeris I	ietAS	1	1979	1541	51	4.25636262399475e-05	0.000145175381413416	0.126405224378076	NA	Y
239	CRISPR I-E	Retron I-C	-1	2026	17573	305	4.31089710719037e-05	0.106575530957099	3.58584749000279e-05	NA	Y
240	AVAST IV	Septu I	-1	2632	1001	74	4.36116846073869e-05	0.000211146154916979	0.0128258291488614	NA	Y
241	CRISPR I-E	Kiwa	1	1741	17573	1339	4.43170140845362e-05	0.0257664390987317	1.57817299584266e-05	NA	Y
242	Septu I	Zorya II	1	2518	2632	255	4.53848566122047e-05	0.167382994774222	2.74860566477571e-05	NA	Y
243	AVAST II	Septu I	1	2632	583	68	4.65172577557798e-05	4.32006119563968e-05	0.431876726287622	NA	Y
244	Zorya I	hhe	1	928	489	9	5.14862105644252e-05	0.0308962939222749	0.0119110198510675	NA	Y
245	RM IV	ppl	1	686	8297	200	5.49084633740038e-05	0.153949303020355	7.67990691851243e-06	NA	Y
246	AbiE	Dnd_ABCDE	1	1407	5251	276	5.50287786681582e-05	4.91047655421726e-05	0.0435508008381019	NA	Y
247	PsyrTA	tmn	1	2182	1382	100	5.53470315570178e-05	0.588299703139277	8.03443725604898e-06	NA	Y
248	AVAST II	PsyrTA	-1	1382	583	1	5.63854389692767e-05	0.338986601344661	0.000637101935312758	NA	Y
249	CBASS I	RM IIG	-1	3307	4764	289	5.79090885322256e-05	3.45467685676708e-05	0.0032102221901103	NA	Y
250	GAO_29	PARIS	1	603	180	7	6.04901310087492e-05	0.730305739131173	5.51096554362072e-05	NA	Y
251	DRT III	Kiwa	1	1741	1497	319	6.08734343690543e-05	0.378120079086855	9.22778680473324e-06	NA	Y
252	CBASS I	PsyrTA	1	1382	4764	253	6.15986798482155e-05	2.23212434951355e-05	0.105256533723895	NA	Y
253	AbiD	CBASS II	-1	456	997	33	6.22481039740416e-05	0.0135230007230974	0.00351682886223609	NA	Y
254	Dnd_FGH	Druantia I	-1	328	1378	35	6.72768188530374e-05	0.000312289404096454	0.056684990616611	NA	Y
255	3HP	AbiE	-1	5251	254	19	6.777237057888e-05	0.00337607843359984	0.000806427010016713	NA	Y
256	DRT I	RM IV	-1	8297	1256	445	6.9105931479604e-05	0.00138946875550861	0.0468777318458466	NA	Y
257	BREX I	RM IIG	-1	3307	1622	78	7.23054009232751e-05	0.032340625739992	0.000113697870605174	NA	Y
258	AbiE	AbiH	-1	221	5251	33	7.65327156823756e-05	0.95311771116699	0.000298552035335094	NA	Y
259	Septu I	Thoeris I	-1	1541	2632	179	7.7563461545209e-05	0.210674558236676	1.06178200379684e-05	NA	Y
260	Septu I	gop_beta_cll	-1	279	2632	34	7.85433973606324e-05	0.000237923420284935	0.0218538011053153	NA	Y
261	SoFic	Thoeris I	1	1541	308	97	8.15219571463336e-05	0.111477082205005	9.83805765835301e-06	NA	Y
262	BstA	Druantia III	-1	3391	1136	59	8.2416538777386e-05	0.00544303964114235	0.000639758656571098	NA	Y
263	RM I	Zorya II	1	2518	18714	1847	8.72218695097684e-05	0.000993794380219869	0.00100441458724398	NA	Y
264	Dnd_ABCDE	Zorya I	1	489	1407	74	8.78988192090478e-05	9.96852786874297e-05	0.000837001886085609	NA	Y
265	GAO_19	Thoeris I	-1	1541	850	16	8.90672376418056e-05	0.136521354932799	0.000276597778573933	NA	Y
266	AbiE	DprA-PRTase	1	204	5251	42	9.23528259432256e-05	0.74903966316574	0.00491106911568529	NA	Y
267	Mokosh II	gop_beta_cll	1	279	975	16	9.27672539325923e-05	0.000930105653858625	0.0291840498592959	NA	Y
268	DRT III	Retron IV	-1	281	1497	43	9.74786971603956e-05	0.00215411125651965	0.00643540871873425	NA	Y
269	BstA	Thoeris I	1	1541	1136	146	0.00010146766748982	0.534811672713677	5.54709208257039e-05	NA	Y
270	AbiD	AbiE	-1	5251	997	97	0.000102454274955561	0.581086721843732	4.56744797958981e-05	NA	Y
271	Hachiman I	RM I	-1	18714	1244	884	0.000104204483067322	9.82183628806858e-06	0.508524091491269	NA	Y
272	Mokosh II	cas_adaptation	-1	195	975	6	0.00011052083293758	3.97713651498188e-05	0.977569419725828	NA	Y
273	DRT III	RM II	-1	26131	1497	1488	0.000112876461449647	0.911919691637851	0.00274834197964152	NA	Y
274	Dnd_FGH	Zorya I	1	489	1378	79	0.000116809061089333	1.43084246258937e-05	0.00230200063862293	NA	Y
275	Retron I-C	Septu I	-1	2632	2026	53	0.000117798050602008	2.86860516855851e-05	0.270141713650425	NA	Y
276	AbiU	Retron I-C	-1	2026	569	7	0.000125538096699326	0.150095372979536	5.82354021881919e-05	NA	Y
277	PsyrTA	dXTPase	1	2159	1382	138	0.000139013312131651	0.00792562364714267	0.000753844251649129	NA	Y
278	CRISPR I-E	Thoeris I	-1	1541	17573	248	0.00014316195721829	0.764273023277231	1.50251646599602e-05	NA	Y
279	RM IV	dXTPase	-1	2159	8297	693	0.000147611994249369	0.0116945756285191	0.00635614704241146	NA	Y
280	PrrC	tmn	1	2182	427	57	0.000164725151874649	0.0223065133790029	9.95186131146694e-05	NA	Y
281	Dnd_FGH	RM II	1	26131	1378	1366	0.000169048964056795	0.0525026580272508	0.747179986667211	NA	Y
282	Thoeris I	dXTPase	1	2159	1541	268	0.00017156719361924	1.44879754594315e-05	0.616326441723175	NA	Y
283	AbiH	PsyrTA	-1	1382	221	6	0.000179292702979799	4.89451620180429e-05	0.0861376518071116	NA	Y
284	PifA	RexAB	1	456	1362	54	0.000182899630574895	0.00546506843728986	0.00903576363064712	NA	Y
285	CBASS I	Septu I	1	2632	4764	567	0.000187535343296009	0.000389661300235782	0.0695405750912592	NA	Y
286	AbiE	SoFic	1	308	5251	44	0.0001948322401164	0.00468942803773539	0.558515320871232	NA	Y
287	Mokosh II	Retron I-C	-1	2026	975	45	0.000194861783052321	0.00176462440572476	0.0136298418879239	NA	Y
288	AbiU	ppl	1	686	569	27	0.000198850159375309	0.421870602259984	0.00113122956258234	NA	Y
289	Gabija	Retron XII	1	474	4540	116	0.0002044453977594	0.000857599631376751	0.228436183174509	NA	Y
290	Gabija	Pycsar	1	135	4540	31	0.000204978055142302	0.225145154090374	0.0244351601961717	NA	Y
291	Septu I	tmn	1	2182	2632	522	0.000208344023208327	0.0135234883136871	0.00179856693581889	NA	Y
292	AbiD	dCTPdeaminase	-1	251	997	14	0.000214006869351624	0.510312125581914	9.65780218570705e-05	NA	Y
293	AbiQ	Retron XII	-1	474	203	6	0.000214694736197703	3.4350370452329e-05	0.212919229051642	NA	Y
294	AbiQ	Hachiman I	-1	1244	203	9	0.000227394611392148	0.00101524508785073	0.0675469524556213	NA	Y
295	DRT II	Retron I-C	1	2026	758	206	0.000244004634132559	0.946941785955184	0.000129604888885017	NA	Y
296	AbiL	GAO_29	-1	180	490	1	0.000262783975011352	0.00136983912953549	0.0489163935387539	NA	Y
297	RM IIG	Thoeris I	-1	1541	3307	43	0.000264322890666181	0.200842731477882	0.000221847211615912	NA	Y
298	Retron I-C	Retron II-A	-1	836	2026	3	0.000277082259821677	0.000266515585053583	0.0512917722284875	NA	Y
299	CRISPR I-E	tmn	-1	2182	17573	1163	0.000282096638751852	0.778011560658594	3.08951636894628e-05	NA	Y
300	AbiE	AbiU	1	569	5251	74	0.000284766498807828	8.87233920214085e-05	0.632727608721152	NA	Y
301	Retron I-B	ppl	1	686	289	18	0.000285877487560777	0.0444526689588487	0.00110030107768374	NA	Y
302	DRT III	PARIS	-1	603	1497	41	0.00028787600981944	0.00753816305055501	0.0199714667843978	NA	Y
303	AbiU	PsyrTA	-1	1382	569	1	0.000321248131159169	0.04327942110224	0.00300107567933695	NA	Y
304	BREX I	dXTPase	1	2159	1622	158	0.000324416181020125	0.0706529837485879	0.00683927395149801	NA	Y
305	CRISPR I-F	Helicase-DUF2290	1	164	675	5	0.000335445048641785	0.284122368418731	0.000862761749321499	NA	Y
306	CBASS I	dXTPase	-1	2159	4764	323	0.000336983660387353	0.000575742543264525	0.238024683351101	NA	Y
307	Gabija	Retron I-A	1	195	4540	78	0.000339500831312558	0.00321053973753647	0.000296545174834485	NA	Y
308	3HP	AbiL	1	490	254	21	0.000342292593175347	0.000603755623095045	0.0221676749908838	NA	Y
309	Retron I-B	Retron II-A	1	836	289	39	0.000349910773579041	0.813202349818634	3.2224820352656e-05	NA	Y
310	PsyrTA	RexAB	-1	456	1382	6	0.000355053196642775	0.630244295277307	8.46768689113141e-05	NA	Y
311	Gabija	RM I	1	18714	4540	3568	0.000362004026660993	5.28729689638937e-05	0.0110626618359751	NA	Y
312	CRISPR I-E	RM III	-1	3335	17573	1948	0.000372834608024123	0.000162433179903231	0.205145602222407	NA	Y
313	DRT III	Hachiman I	-1	1244	1497	55	0.000377802955077594	0.00389530770975015	0.0665568585478428	NA	Y
314	PsyrTA	Zorya I	-1	489	1382	50	0.000378030409562897	0.0009919752031321	0.0608073322854953	NA	Y
315	AbiL	PsyrTA	-1	1382	490	11	0.00038148454315561	0.0649207021229115	0.0644011862541575	NA	Y
316	3HP	Druantia III	1	3391	254	16	0.000389108781068929	0.142504676837278	0.332892154900991	NA	Y
317	AbiE	Hachiman I	1	1244	5251	114	0.000394266853023933	0.000893345141055679	0.0114368181126681	NA	Y
318	3HP	old	1	194	254	10	0.000397287206794682	0.000156022353256119	0.000399914576399606	NA	Y
319	CRISPR I-F	RM II	1	26131	675	688	0.000401837671404003	0.509351668305306	0.00140532604810198	NA	Y
320	Druantia I	Mokosh II	1	975	328	28	0.000421869756103609	0.000575825377685567	0.456851507942719	NA	Y
321	PrrC	dXTPase	1	2159	427	56	0.000427974114538427	6.19723959801051e-05	0.000937257041526639	NA	Y
322	BstA	Kiwa	1	1741	1136	89	0.000430174463805801	0.00536570173701303	0.0116686831623398	NA	Y
323	Septu I	mza	-1	249	2632	5	0.000432124617837038	7.63274562441544e-05	0.180484411776638	NA	Y
324	AbiL	tmn	1	2182	490	43	0.00043274767064423	0.000476049635986246	0.28926130773163	NA	Y
325	BREX I	Mokosh II	-1	975	1622	15	0.000436847376328047	0.0091249007460752	0.00131268574685311	NA	Y
326	Druantia III	GAO_19	-1	850	3391	65	0.000449314938323995	0.102435506562608	0.0032684637581534	NA	Y
327	RM IV	darTG	1	967	8297	253	0.000454634682107319	0.00143633296880748	0.0902145224450741	NA	Y
328	CRISPR I-F	Retron V	1	205	675	2	0.000455046727850671	0.474230109301165	0.00129973549496567	NA	Y
329	RM IIG	Septu I	1	2632	3307	366	0.000467957148047049	6.03303858004596e-05	0.65442390054443	NA	Y
330	RM III	Retron I-A	1	195	3335	52	0.000476584098100508	0.0255320774013451	0.000464406701179831	NA	Y
331	Dpd	Retron I-C	-1	2026	1259	9	0.000533318784132354	0.512639566736867	5.27766354076209e-05	NA	Y
332	Retron II-A	ppl	1	686	836	58	0.000599077504055928	9.42817524839249e-05	0.0128459606142656	NA	Y
333	AbiD	Retron IV	-1	281	997	3	0.000604484882724731	0.00047952424464421	0.00115395017307933	NA	Y
334	CBASS I	Zorya II	-1	2518	4764	157	0.000616386611432808	0.000239550306960665	0.0675989352787494	NA	Y
335	RM III	cas_adaptation	-1	195	3335	28	0.000619402890430668	0.130094747379009	0.0067388985735258	NA	Y
336	cas_adaptation	hhe	1	928	195	6	0.000638531120346998	1.00279677588359e-06	0.000438197462189838	NA	Y
337	AVAST II	Retron XII	-1	474	583	7	0.000665980268946273	0.011765211347837	0.000234496801497753	NA	Y
338	dCTPdeaminase	gop_beta_cll	-1	279	251	7	0.000671705793569418	0.00282069073225337	0.0276334524995178	NA	Y
339	CRISPR I-E	PifA	1	1362	17573	978	0.0006725659090282	0.000203977268766309	0.585834962333968	NA	Y
340	Dnd_ABCDE	Druantia I	-1	328	1407	37	0.000676997232415633	0.00127224461169046	0.154902467439006	NA	Y
341	AbiE	hhe	-1	928	5251	84	0.00069706821963693	0.000425514647381172	0.0303436468470387	NA	Y
342	AbiE	dXTPase	1	2159	5251	447	0.000697132364561269	0.919383018360904	0.00025023466719744	NA	Y
343	SoFic	dXTPase	-1	2159	308	14	0.000702761976892164	0.0727949809493526	0.00319929406768315	NA	Y
344	CBASS I	Retron I-C	1	2026	4764	809	0.000719465384907428	0.00299109816685025	0.315355888526033	NA	Y
345	PsyrTA	ppl	1	686	1382	10	0.000721573872624613	0.00682988078590786	0.191767213141084	NA	Y
346	AVAST IV	Gabija	1	4540	1001	258	0.000758799335172343	8.44833486464649e-05	0.597273982093471	NA	Y
347	Retron I-B	Septu I	-1	2632	289	2	0.000762561510000718	0.000487040455718997	0.00139959170158994	NA	Y
348	SspABCD	dCTPdeaminase	1	251	136	14	0.000765468699271155	0.000106454520143207	0.151660376496989	NA	Y
349	AbiE	RM IIG	1	3307	5251	364	0.000800653129547773	0.00579651812926997	0.0213303651351518	NA	Y
350	Druantia III	gop_beta_cll	-1	279	3391	9	0.000810275926704421	0.000109800927765785	0.0761875600948044	NA	Y
351	DRT II	Retron XII	-1	474	758	8	0.00081680823282501	0.00692598090983118	0.0173692110442055	NA	Y
352	BstA	Mokosh II	-1	975	1136	56	0.000857813070549495	0.832482992829508	0.00011821627538496	NA	Y
353	AbiH	GAO_19	1	850	221	18	0.000866286697629714	0.0977165407848879	0.00816786153651473	NA	Y
354	Kiwa	Thoeris I	1	1541	1741	89	0.000886219064461247	0.0030326333980138	0.00887925168266435	NA	Y
355	CBASS I	mza	-1	249	4764	15	0.000898384534821044	0.000110233334820262	0.156240370911884	NA	Y
356	AbiD	Hachiman I	-1	1244	997	33	0.000921878587549578	0.000224947574314911	0.68841806718982	NA	Y
357	AbiL	Dnd_ABCDE	-1	1407	490	34	0.000935669090886464	0.000253456978790764	0.790353649457402	NA	Y
358	BstA	PifA	1	1362	1136	75	0.000954217356079391	0.11977577204035	0.00118719368146313	NA	Y
359	PsyrTA	qatABCD	-1	1271	1382	43	0.000972408645984282	0.189418957392479	0.00625386733565327	NA	Y
360	Dnd_ABCDE	PsyrTA	-1	1382	1407	13	0.00102376097720474	0.00227042030226903	0.017130658584402	NA	Y
361	PifA	Retron XII	1	474	1362	48	0.00103161108359597	0.00900552722118414	0.00131056768877324	NA	Y
362	Dnd_ABCDE	Retron I-C	-1	2026	1407	58	0.00106259365384898	0.432682028458365	0.000120617939399779	NA	Y
363	GAO_29	Gabija	-1	4540	180	19	0.00108674294791464	0.165361861562752	0.00094354827389279	NA	Y
364	CRISPR I-E	Retron XII	1	474	17573	386	0.00109969352585916	0.00187305411049522	0.0169918093209489	NA	Y
365	CRISPR I-F	RM IV	-1	8297	675	241	0.00110514132364737	0.00134161918590487	0.0745232585485442	NA	Y
366	Dnd_FGH	Retron I-C	-1	2026	1378	55	0.00112519785561299	0.423750778820958	0.000129753080483483	NA	Y
367	Hachiman I	PsyrTA	-1	1382	1244	5	0.00114695167910888	0.0396971611203425	0.000436766138110053	NA	Y
368	BREX I	Retron IV	1	281	1622	61	0.00122748733527088	0.00549036991308218	0.00817044452632685	NA	Y
369	RM IIG	Zorya I	1	489	3307	112	0.00124751723387968	0.00317600225702291	0.26685700006989	NA	Y
370	CRISPR I-E	GAO_19	1	850	17573	659	0.00124865134908335	0.000380021321119558	0.0577113444839901	NA	Y
371	Dnd_ABCDE	RM IV	-1	8297	1407	381	0.0013216605062363	0.0164589718839554	0.0359658603884393	NA	Y
372	CBASS II	Septu I	-1	2632	456	17	0.00136014727027385	0.177962212563252	0.000263381971475727	NA	Y
373	CBASS I	darTG	1	967	4764	274	0.00136953105961999	0.00111965636066386	0.135828027940863	NA	Y
374	AbiU	Pycsar	1	135	569	14	0.00138810904719049	0.000272788582662955	0.0184266464899518	NA	Y
375	AbiE	DRT II	-1	758	5251	291	0.00143142444422161	0.0454262628795307	0.020794025821815	NA	Y
376	Dnd_FGH	ietAS	1	1979	1378	142	0.00143222893504187	0.0577971878710802	0.0565291796968435	NA	Y
377	AVAST IV	Retron XII	1	474	1001	40	0.00145808192795998	0.000239613288797445	0.940921687983004	NA	Y
378	CBASS I	Kiwa	1	1741	4764	286	0.00146589990678041	0.0661034855153421	0.0013714825604929	NA	Y
379	Dnd_ABCDE	ietAS	1	1979	1407	142	0.00147723011519706	0.133946102381071	0.0184671807689172	NA	Y
